"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2023","47.54","47.44","47.78","47.26","3.39M","0.25%"
"Jan 10, 2023","47.42","47.50","47.70","47.24","2.83M","-0.04%"
"Jan 09, 2023","47.44","47.66","47.66","46.98","3.92M","1.76%"
"Jan 06, 2023","46.62","46.34","46.78","46.22","2.62M","0.60%"
"Jan 05, 2023","46.34","45.70","46.38","45.60","4.41M","1.85%"
"Jan 04, 2023","45.50","45.98","45.98","45.04","3.10M","-0.22%"
"Jan 03, 2023","45.60","44.64","45.60","44.34","1.95M","2.15%"
"Dec 30, 2022","44.64","45.00","45.00","44.46","1.01M","-0.80%"
"Dec 29, 2022","45.00","44.40","45.00","43.98","1.62M","1.08%"
"Dec 28, 2022","44.52","44.50","44.62","44.32","1.40M","0.72%"
"Dec 23, 2022","44.20","43.90","44.20","43.60","1.91M","-1.30%"
"Dec 22, 2022","44.78","44.16","44.78","43.86","2.54M","1.73%"
"Dec 21, 2022","44.02","44.06","44.18","43.76","2.13M","-0.14%"
"Dec 20, 2022","44.08","44.28","44.34","43.48","3.63M","-0.94%"
"Dec 19, 2022","44.50","45.14","45.38","44.36","1.50M","-1.33%"
"Dec 16, 2022","45.10","45.00","45.34","44.88","850.60K","-0.57%"
"Dec 15, 2022","45.36","45.50","45.54","45.02","671.36K","-0.13%"
"Dec 14, 2022","45.42","45.30","45.54","45.10","915.60K","0.98%"
"Dec 13, 2022","44.98","45.14","45.30","44.88","1.53M","-0.66%"
"Dec 12, 2022","45.28","45.68","45.68","45.08","1.60M","-1.95%"
"Dec 09, 2022","46.18","45.68","46.18","45.32","2.36M","1.54%"
"Dec 08, 2022","45.48","45.20","45.58","45.20","1.16M","0.93%"
"Dec 07, 2022","45.06","45.32","45.90","44.92","2.35M","-0.75%"
"Dec 06, 2022","45.40","45.00","45.60","45.00","2.03M","0.67%"
"Dec 05, 2022","45.10","44.50","45.30","44.50","3.04M","2.41%"
"Dec 02, 2022","44.04","44.14","44.16","43.80","2.33M","0.09%"
"Dec 01, 2022","44.00","43.94","44.96","43.94","3.90M","0.92%"
"Nov 30, 2022","43.60","43.40","43.62","42.90","3.41M","0.37%"
"Nov 29, 2022","43.44","41.72","43.44","41.70","2.91M","4.47%"
"Nov 28, 2022","41.58","41.80","41.80","40.48","1.88M","-1.61%"
"Nov 25, 2022","42.26","42.00","42.40","41.86","1.31M","-0.56%"
"Nov 24, 2022","42.50","42.22","42.60","42.00","2.69M","0.66%"
"Nov 23, 2022","42.22","42.14","42.48","42.04","1.23M","-0.19%"
"Nov 22, 2022","42.30","42.10","42.62","41.92","2.67M","0.24%"
"Nov 21, 2022","42.20","42.04","42.22","41.74","2.23M","-1.49%"
"Nov 18, 2022","42.84","43.06","43.20","42.70","1.62M","-0.46%"
"Nov 17, 2022","43.04","43.50","43.50","42.46","2.48M","-1.51%"
"Nov 16, 2022","43.70","43.92","44.06","43.42","1.91M","-1.13%"
"Nov 15, 2022","44.20","43.20","44.30","43.08","2.88M","1.75%"
"Nov 14, 2022","43.44","43.28","44.00","43.20","2.69M","0.37%"
"Nov 11, 2022","43.28","42.60","43.60","42.00","3.17M","6.08%"
"Nov 10, 2022","40.80","40.88","41.02","40.58","1.18M","-1.11%"
"Nov 09, 2022","41.26","41.74","41.84","41.18","3.05M","-0.77%"
"Nov 08, 2022","41.58","41.94","42.08","41.36","1.58M","-1.28%"
"Nov 07, 2022","42.12","41.62","42.46","41.62","2.81M","1.15%"
"Nov 04, 2022","41.64","40.30","42.10","40.30","2.54M","4.36%"
"Nov 03, 2022","39.90","40.12","40.32","39.84","1.40M","-2.35%"
"Nov 02, 2022","40.86","40.28","40.94","39.88","4.56M","2.46%"
"Nov 01, 2022","39.88","38.56","40.20","38.56","5.75M","3.42%"
"Oct 31, 2022","38.56","40.00","40.00","38.40","2.56M","-1.43%"
"Oct 28, 2022","39.12","40.06","40.20","39.12","5.97M","-2.93%"
"Oct 27, 2022","40.30","40.82","41.18","40.22","3.80M","-0.93%"
"Oct 26, 2022","40.68","39.66","40.68","39.66","4.38M","2.21%"
"Oct 25, 2022","39.80","40.00","40.28","39.32","4.94M","-0.50%"
"Oct 24, 2022","40.00","41.26","41.66","39.84","7.01M","-3.38%"
"Oct 21, 2022","41.40","41.52","41.76","41.18","1.51M","-0.48%"
"Oct 20, 2022","41.60","41.42","42.26","41.24","2.73M","-0.72%"
"Oct 19, 2022","41.90","42.58","42.78","41.84","1.13M","-2.29%"
"Oct 18, 2022","42.88","43.12","43.18","42.72","2.20M","-0.05%"
"Oct 17, 2022","42.90","42.76","42.98","42.52","1.39M","0.28%"
"Oct 14, 2022","42.78","42.32","43.36","42.32","3.59M","2.34%"
"Oct 13, 2022","41.80","42.16","42.34","41.80","2.23M","-0.85%"
"Oct 12, 2022","42.16","41.60","42.52","41.02","4.56M","1.25%"
"Oct 11, 2022","41.64","41.94","41.98","41.44","3.55M","-0.72%"
"Oct 10, 2022","41.94","42.74","42.82","41.92","4.46M","-4.55%"
"Oct 07, 2022","43.94","44.20","44.34","43.84","935.60K","-2.14%"
"Oct 06, 2022","44.90","44.88","45.28","44.82","857.92K","-0.97%"
"Oct 05, 2022","45.34","43.22","45.48","43.22","3.83M","7.39%"
