"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2023","656.40","653.62","659.00","652.88","","0.21%"
"01/10/2023","655.00","651.75","664.00","648.25","","0.34%"
"01/09/2023","652.75","655.50","657.00","650.75","112.24K","-0.19%"
"01/06/2023","654.00","653.75","659.50","651.75","114.16K","0.19%"
"01/05/2023","652.75","654.50","657.75","648.50","138.83K","-0.15%"
"01/04/2023","653.75","670.75","671.75","652.50","175.76K","-2.50%"
"01/03/2023","670.50","677.25","681.25","668.00","155.54K","-1.18%"
"12/30/2022","678.50","679.50","685.00","676.50","90.32K","-0.15%"
"12/29/2022","679.50","681.75","682.25","677.25","104.94K","-0.48%"
"12/28/2022","682.75","673.25","683.50","672.75","122.19K","1.19%"
"12/27/2022","674.75","669.00","675.75","667.25","123.17K","1.28%"
"12/23/2022","666.25","659.50","667.75","659.25","94.50K","0.87%"
"12/22/2022","660.50","662.00","664.75","658.75","79.92K","-0.26%"
"12/21/2022","662.25","651.50","663.00","651.00","125.59K","1.57%"
"12/20/2022","652.00","647.75","654.25","646.75","91.46K","0.73%"
"12/19/2022","647.25","650.50","650.75","644.00","83.17K","-0.88%"
"12/16/2022","653.00","653.50","655.75","650.00","66.40K","-0.08%"
"12/15/2022","653.50","650.25","654.25","647.75","93.74K","2.27%"
"12/14/2022","639.00","644.25","644.25","639.00","0.04K","-0.74%"
"12/13/2022","643.75","642.50","650.50","639.25","0.18K","0.39%"
"12/12/2022","641.25","634.50","644.50","634.50","0.26K","1.02%"
"12/09/2022","634.75","631.50","639.75","631.50","0.45K","0.44%"
"12/08/2022","632.00","628.00","632.50","626.00","0.43K","0.68%"
"12/07/2022","627.75","626.50","632.50","624.00","0.66K","0.36%"
"12/06/2022","625.50","630.75","635.50","623.00","0.51K","-0.52%"
"12/05/2022","628.75","635.50","638.25","625.50","0.76K","-0.98%"
"12/02/2022","635.00","650.25","650.25","629.00","5.68K","-2.31%"
"12/01/2022","650.00","661.75","663.75","647.00","8.57K","-1.81%"
"11/30/2022","662.00","665.75","667.00","660.00","18.20K","-0.56%"
"11/29/2022","665.75","667.50","671.25","665.25","110.38K","-0.45%"
"11/28/2022","668.75","665.00","670.00","661.00","149.23K","0.11%"
"11/25/2022","668.00","661.25","669.75","661.00","71.24K","0.72%"
"11/23/2022","663.25","657.75","663.75","655.75","104.57K","0.99%"
"11/22/2022","656.75","659.50","663.00","656.25","107.55K","-0.42%"
"11/21/2022","659.50","666.50","666.75","657.25","143.72K","-1.24%"
"11/18/2022","667.75","667.50","672.75","665.25","131.28K","0.04%"
"11/17/2022","667.50","665.00","668.25","654.75","138.56K","0.34%"
"11/16/2022","665.25","665.25","666.00","657.50","121.44K","-0.22%"
"11/15/2022","666.75","657.00","675.00","651.25","234.10K","1.45%"
"11/14/2022","657.25","657.00","662.00","652.25","181.57K","-0.11%"
"11/11/2022","658.00","653.75","661.00","653.50","233.36K","0.73%"
"11/10/2022","653.25","664.50","667.25","652.75","229.08K","-1.69%"
"11/09/2022","664.50","667.00","671.75","658.00","246.97K","-0.45%"
"11/08/2022","667.50","675.75","677.00","666.25","227.16K","-1.22%"
"11/07/2022","675.75","679.00","680.75","675.25","162.56K","-0.77%"
"11/04/2022","681.00","679.25","685.25","678.50","112.56K","0.26%"
"11/03/2022","679.25","686.00","686.50","678.50","123.35K","-1.20%"
"11/02/2022","687.50","696.50","697.25","680.00","168.33K","-1.47%"
"11/01/2022","697.75","689.00","698.50","687.25","146.47K","0.90%"
"10/31/2022","691.50","696.50","700.00","684.25","226.70K","1.58%"
"10/28/2022","680.75","681.25","683.75","676.25","115.07K","-0.22%"
"10/27/2022","682.25","685.00","689.25","679.25","112.30K","-0.40%"
"10/26/2022","685.00","684.25","689.75","683.25","106.23K","-0.18%"
"10/25/2022","686.25","681.50","687.50","677.75","116.66K","0.70%"
"10/24/2022","681.50","682.25","686.50","677.25","119.46K","-0.40%"
"10/21/2022","684.25","683.50","688.00","677.75","109.02K","0.04%"
"10/20/2022","684.00","678.00","687.00","676.75","134.82K","0.85%"
"10/19/2022","678.25","681.00","684.50","674.00","112.23K","-0.40%"
"10/18/2022","681.00","683.00","683.75","674.50","147.46K","-0.37%"
"10/17/2022","683.50","689.00","692.25","681.25","106.16K","-0.91%"
"10/14/2022","689.75","697.00","699.50","688.50","108.82K","-1.15%"
"10/13/2022","697.75","692.25","699.50","684.00","167.24K","0.69%"
"10/12/2022","693.00","693.25","700.00","680.00","180.21K","0.00%"
"10/11/2022","693.00","697.00","702.00","690.75","140.43K","-0.75%"
"10/10/2022","698.25","683.75","706.50","683.50","201.82K","2.20%"
"10/07/2022","683.25","675.50","684.50","671.50","113.58K","1.15%"
"10/06/2022","675.50","683.75","685.75","672.00","128.78K","-1.24%"
"10/05/2022","684.00","683.00","687.50","675.75","114.32K","0.15%"
"10/04/2022","683.00","680.75","691.50","676.50","119.21K","0.33%"
"10/03/2022","680.75","680.00","687.50","672.50","132.39K","0.48%"
"09/30/2022","677.50","669.50","696.25","669.25","253.85K","1.19%"
"09/29/2022","669.50","670.50","676.75","666.00","139.45K","-0.15%"
"09/28/2022","670.50","668.25","673.25","661.50","137.43K","0.45%"
"09/27/2022","667.50","666.25","678.00","666.25","163.17K","0.19%"
"09/26/2022","666.25","673.25","679.00","665.50","140.73K","-1.55%"
"09/23/2022","676.75","687.00","688.00","669.50","154.39K","-1.67%"
"09/22/2022","688.25","683.50","691.00","681.50","97.07K","0.40%"
