"Date","Price","Open","High","Low","Change %"
"Jan 11, 2023","3.556","3.606","3.609","3.556","-1.64%"
"Jan 10, 2023","3.615","3.534","3.639","3.521","2.51%"
"Jan 09, 2023","3.527","3.578","3.610","3.508","-0.94%"
"Jan 08, 2023","3.560","3.560","3.560","3.560","0.00%"
"Jan 06, 2023","3.560","3.727","3.755","3.551","-4.35%"
"Jan 05, 2023","3.722","3.698","3.784","3.683","0.86%"
"Jan 04, 2023","3.690","3.758","3.763","3.664","-1.65%"
"Jan 03, 2023","3.752","3.848","3.848","3.724","-3.26%"
"Jan 02, 2023","3.879","3.879","3.879","3.879","0.00%"
"Dec 30, 2022","3.879","3.826","3.905","3.820","1.53%"
"Dec 29, 2022","3.820","3.873","3.886","3.816","-1.71%"
"Dec 28, 2022","3.886","3.847","3.892","3.805","0.98%"
"Dec 27, 2022","3.849","3.745","3.862","3.727","2.81%"
"Dec 26, 2022","3.743","3.745","3.745","3.743","-0.20%"
"Dec 23, 2022","3.751","3.682","3.753","3.676","1.76%"
"Dec 22, 2022","3.686","3.666","3.692","3.628","0.35%"
"Dec 21, 2022","3.673","3.705","3.722","3.621","-0.51%"
"Dec 20, 2022","3.692","3.596","3.711","3.583","2.83%"
"Dec 19, 2022","3.590","3.510","3.601","3.497","2.24%"
"Dec 18, 2022","3.511","3.502","3.511","3.502","0.68%"
"Dec 16, 2022","3.488","3.464","3.557","3.459","1.09%"
"Dec 15, 2022","3.450","3.497","3.523","3.428","-0.84%"
"Dec 14, 2022","3.479","3.499","3.561","3.461","-0.63%"
"Dec 13, 2022","3.501","3.608","3.630","3.421","-3.20%"
"Dec 12, 2022","3.617","3.586","3.632","3.520","0.82%"
"Dec 11, 2022","3.588","3.584","3.588","3.584","0.05%"
"Dec 09, 2022","3.586","3.489","3.595","3.452","2.76%"
"Dec 08, 2022","3.489","3.435","3.506","3.435","2.01%"
"Dec 07, 2022","3.421","3.542","3.559","3.402","-3.14%"
"Dec 06, 2022","3.531","3.586","3.606","3.508","-1.43%"
"Dec 05, 2022","3.583","3.519","3.612","3.502","1.87%"
"Dec 04, 2022","3.517","3.524","3.524","3.517","0.73%"
"Dec 02, 2022","3.492","3.514","3.638","3.474","-0.53%"
"Dec 01, 2022","3.510","3.620","3.640","3.505","-2.79%"
